Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"AH1","MOSFETSO-8","PowerPAK_SO-8_123",136.710000,-102.300000,180.000000,top
"AH2","MOSFETSO-8","PowerPAK_SO-8_123",136.710000,-71.320000,180.000000,top
"AL1","MOSFETSO-8","PowerPAK_SO-8_123",145.300000,-102.309500,180.000000,top
"AL2","MOSFETSO-8","PowerPAK_SO-8_123",145.300000,-71.329500,180.000000,top
"BH1","MOSFETSO-8","PowerPAK_SO-8_123",136.710000,-110.450000,180.000000,top
"BH2","MOSFETSO-8","PowerPAK_SO-8_123",136.710000,-79.670000,180.000000,top
"BL1","MOSFETSO-8","PowerPAK_SO-8_123",145.300000,-110.450000,180.000000,top
"BL2","MOSFETSO-8","PowerPAK_SO-8_123",145.300000,-79.670000,180.000000,top
"C$1","2.2uF 100V","C_1206_3216Metric",137.000000,-75.500000,0.000000,top
"C$2","2.2uF 100V","C_1206_3216Metric",137.000000,-106.400000,0.000000,top
"C$3","2.2uF 100V","C_1206_3216Metric",137.050000,-83.700000,0.000000,top
"C$4","2.2uF 100V","C_1206_3216Metric",137.000000,-114.600000,0.000000,top
"C$5","4.7uF 100V","C_1210_3225Metric",93.850000,-79.400000,180.000000,top
"C$6","100nF 100V","C_0805_2012Metric",93.405000,-76.620000,180.000000,top
"C$7","1uF 35V","C_0805_2012Metric",86.210000,-69.895000,-90.000000,top
"C1","100nF 50V","C_0603_1608Metric",117.270000,-114.780900,-90.000000,top
"C2","100nF 50V","C_0603_1608Metric",117.470000,-89.750900,-90.000000,top
"C3","47uF 63V","CP_Elec_8x10",124.710000,-90.170000,180.000000,top
"C4","47uF 63V","CP_Elec_8x10",124.710000,-81.220000,180.000000,top
"C5","47uF 63V","CP_Elec_8x10",124.710000,-99.200000,180.000000,top
"C6","47uF 63V","CP_Elec_8x10",124.710000,-117.250000,180.000000,top
"C7","47uF 63V","CP_Elec_8x10",124.710000,-108.200000,180.000000,top
"C8","10uF 50V","C_0805_2012Metric",113.480900,-119.730000,0.000000,top
"C9","10uF 50V","C_0805_2012Metric",113.680900,-94.700000,0.000000,top
"C10","100nF 50V","C_0603_1608Metric",117.370000,-106.580900,-90.000000,top
"C11","100nF 50V","C_0603_1608Metric",117.570000,-81.700900,-90.000000,top
"C12","10uF 50V","C_0805_2012Metric",113.590900,-111.680000,0.000000,top
"C13","10uF 50V","C_0805_2012Metric",114.590900,-81.050000,0.000000,top
"C14","100nF 50V","C_0603_1608Metric",117.520000,-98.120900,-90.000000,top
"C15","100nF 50V","C_0603_1608Metric",114.840900,-73.680000,0.000000,top
"C16","10uF 50V","C_0805_2012Metric",113.290900,-103.380000,0.000000,top
"C17","10uF 50V","C_0805_2012Metric",110.809100,-81.000000,180.000000,top
"C18","1u","C_0603_1608Metric",141.950000,-97.100000,180.000000,top
"C19","1u","C_0603_1608Metric",79.410000,-95.600000,90.000000,top
"C20","10u","C_0805_2012Metric",103.400000,-100.947500,-90.000000,top
"C21","100n","C_0603_1608Metric",103.770000,-116.295000,90.000000,top
"C22","1u","C_0603_1608Metric",89.100000,-86.960000,90.000000,top
"C23","10u","C_0805_2012Metric",98.515000,-100.200000,180.000000,top
"C24","100uF 35V","CP_Elec_6.3x7.7",98.865000,-72.020000,0.000000,top
"C25","HIGHCURRENTPAD2","PAD_8GA_WIRE",128.100000,-73.000000,0.000000,top
"C26","HIGHCURRENTPAD2","PAD_8GA_WIRE",120.283060,-73.000000,0.000000,top
"C27","20p","C_0603_1608Metric",95.150000,-92.825000,90.000000,top
"C28","20p","C_0603_1608Metric",89.905000,-95.650000,180.000000,top
"C29","10u","C_0805_2012Metric",101.350000,-100.975000,-90.000000,top
"C30","100n","C_0603_1608Metric",92.640000,-112.785000,-90.000000,top
"C31","100n","C_0603_1608Metric",88.440000,-97.965000,90.000000,top
"C32","1u","C_0603_1608Metric",88.590000,-111.535000,-90.000000,top
"C33","100n","C_0603_1608Metric",91.040000,-112.685000,-90.000000,top
"C34","1u","C_0603_1608Metric",85.365000,-111.890000,180.000000,top
"C35","1u","C_0603_1608Metric",93.350000,-85.100000,0.000000,top
"C36","100n","C_0603_1608Metric",97.875000,-108.900000,0.000000,top
"C37","100n","C_0603_1608Metric",83.955000,-103.800000,180.000000,top
"C38","100n","C_0603_1608Metric",98.875000,-103.550000,0.000000,top
"C39","100n","C_0603_1608Metric",90.359000,-97.965000,90.000000,top
"C40","100n","C_0603_1608Metric",85.305000,-108.650000,180.000000,top
"C41","100n","C_0603_1608Metric",85.305000,-110.300000,180.000000,top
"CH1","MOSFETSO-8","PowerPAK_SO-8_123",136.710000,-118.900000,180.000000,top
"CH2","MOSFETSO-8","PowerPAK_SO-8_123",136.710000,-87.900000,180.000000,top
"CL1","MOSFETSO-8","PowerPAK_SO-8_123",145.300000,-118.900000,180.000000,top
"CL2","MOSFETSO-8","PowerPAK_SO-8_123",145.300000,-87.900000,180.000000,top
"D1","FR107","D_SOD-123",117.750000,-119.300000,90.000000,top
"D2","FR107","D_SOD-123",117.950000,-93.720000,90.000000,top
"D3","1N4148WS","D_SOD-323",105.810000,-118.200000,-90.000000,top
"D4","1N4148WS","D_SOD-323",105.810000,-113.325000,-90.000000,top
"D5","1N4148WS","D_SOD-323",106.010000,-93.170000,-90.000000,top
"D6","1N4148WS","D_SOD-323",106.010000,-88.295000,-90.000000,top
"D7","B5819W SL","D_SOD-123",141.931000,-114.585000,0.000000,top
"D8","B5819W SL","D_SOD-123",153.571000,-120.535000,0.000000,top
"D9","B5819W SL","D_SOD-123",137.460000,-92.155000,0.000000,top
"D10","B5819W SL","D_SOD-123",146.771000,-83.705000,0.000000,top
"D11","FR107","D_SOD-123",117.650000,-110.750000,90.000000,top
"D12","1N4148WS","D_SOD-323",105.810000,-109.650000,-90.000000,top
"D13","1N4148WS","D_SOD-323",105.810000,-105.100000,-90.000000,top
"D14","FR107","D_SOD-123",117.850000,-85.670000,90.000000,top
"D15","1N4148WS","D_SOD-323",106.010000,-84.970000,-90.000000,top
"D16","1N4148WS","D_SOD-323",106.010000,-81.620000,-90.000000,top
"D17","B5819W SL","D_SOD-123",141.931000,-106.375000,0.000000,top
"D18","B5819W SL","D_SOD-123",146.671000,-114.585000,0.000000,top
"D19","B5819W SL","D_SOD-123",142.031000,-83.695000,0.000000,top
"D20","B5819W SL","D_SOD-123",146.671000,-75.495000,0.000000,top
"D21","FR107","D_SOD-123",117.750000,-102.400000,90.000000,top
"D22","1N4148WS","D_SOD-323",105.810000,-101.500000,-90.000000,top
"D23","1N4148WS","D_SOD-323",105.810000,-96.950000,-90.000000,top
"D24","FR107","D_SOD-123",102.220000,-83.900000,180.000000,top
"D25","1N4148WS","D_SOD-323",106.010000,-78.220000,-90.000000,top
"D26","1N4148WS","D_SOD-323",106.010000,-74.970000,-90.000000,top
"D27","B5819W SL","D_SOD-123",137.510000,-97.850000,0.000000,top
"D28","B5819W SL","D_SOD-123",146.660000,-106.375000,0.000000,top
"D29","B5819W SL","D_SOD-123",141.960000,-75.495000,0.000000,top
"D30","B5819W SL","D_SOD-123",154.260000,-69.570000,0.000000,top
"D31","B5819W SL","D_SOD-123",99.500000,-120.400000,180.000000,top
"D32","SS210","D_SMA",99.995000,-77.500000,0.000000,top
"D33","WS2812B","LED_WS2812_3528_3.5x2.8mm_P1.5mm",107.400000,-70.450000,90.000000,top
"D34","WS2812B","LED_WS2812_3528_3.5x2.8mm_P1.5mm",110.800000,-70.450000,90.000000,top
"D35","WS2812B","LED_WS2812_3528_3.5x2.8mm_P1.5mm",114.200000,-70.450000,90.000000,top
"D36","DNS","D_SOD-523",101.000000,-81.700000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",91.400000,-119.250000,0.000000,top
"J2","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",72.490000,-71.200000,0.000000,top
"J3","Conn_01x05","Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",74.100000,-119.850000,90.000000,top
"J4","Conn_01x05","Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",74.100000,-87.400000,90.000000,top
"J5","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",81.050000,-84.960000,90.000000,top
"J6","Conn_01x03","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",74.100000,-106.000000,90.000000,top
"L1","100uH 0.5A","SM5845",90.705000,-71.720000,90.000000,top
"M1A1","HIGHCURRENTPAD2","PAD_12GA_WIRE",159.500000,-102.250000,0.000000,top
"M1B1","HIGHCURRENTPAD2","PAD_12GA_WIRE",159.500000,-109.300000,0.000000,top
"M1C1","HIGHCURRENTPAD2","PAD_12GA_WIRE",159.500000,-119.100000,0.000000,top
"M2A1","HIGHCURRENTPAD2","PAD_12GA_WIRE",159.400000,-71.100000,0.000000,top
