Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A1","HIGHCURRENTPAD2","PAD_12GA_WIRE",56.619000,27.870000,0.000000,top
"A2","HIGHCURRENTPAD2","PAD_12GA_WIRE",56.619000,-0.510000,0.000000,top
"AH1","MOSFETSO-8","PowerPAK_SO-8_123",33.850000,26.980000,180.000000,top
"AH2","MOSFETSO-8","PowerPAK_SO-8_123",33.850000,-0.900000,180.000000,top
"AL1","MOSFETSO-8","PowerPAK_SO-8_123",42.450000,26.970500,180.000000,top
"AL2","MOSFETSO-8","PowerPAK_SO-8_123",42.450000,-0.909500,180.000000,top
"B1","HIGHCURRENTPAD2","PAD_12GA_WIRE",56.619000,19.530000,0.000000,top
"B2","HIGHCURRENTPAD2","PAD_12GA_WIRE",56.619000,-9.350000,0.000000,top
"BH1","MOSFETSO-8","PowerPAK_SO-8_123",33.850000,18.530000,180.000000,top
"BH2","MOSFETSO-8","PowerPAK_SO-8_123",33.850000,-9.350000,180.000000,top
"BL1","MOSFETSO-8","PowerPAK_SO-8_123",42.450000,18.530000,180.000000,top
"BL2","MOSFETSO-8","PowerPAK_SO-8_123",42.450000,-9.350000,180.000000,top
"C$1","100nF 100V","C_0805_2012Metric",-5.890000,22.555000,-90.000000,top
"C$2","1uF 35V","C_0805_2012Metric",-14.700000,29.605000,-90.000000,top
"C1","100nF 50V","C_0603_1608Metric",16.360000,10.249100,-90.000000,top
"C2","47uF 63V","CP_Elec_8x10",23.600000,9.830000,180.000000,top
"C3","47uF 63V","CP_Elec_8x10",23.600000,18.780000,180.000000,top
"C4","10uF 50V","C_0805_2012Metric",12.570900,5.300000,0.000000,top
"C5","HIGHCURRENTPAD2","PAD_12GA_WIRE",56.619000,10.080000,0.000000,top
"C6","100nF 50V","C_0603_1608Metric",16.460000,18.699100,-90.000000,top
"C7","10uF 50V","C_0805_2012Metric",12.680900,13.350000,0.000000,top
"C8","100nF 50V","C_0603_1608Metric",15.410000,28.159100,-90.000000,top
"C9","HIGHCURRENTPAD2","PAD_8GA_WIRE",26.990000,27.000000,0.000000,top
"C10","HIGHCURRENTPAD2","PAD_8GA_WIRE",19.740000,27.000000,0.000000,top
"C11","10uF 50V","C_0805_2012Metric",11.180900,22.900000,0.000000,top
"C12","100nF 50V","C_0603_1608Metric",16.160000,-14.780900,-90.000000,top
"C13","47uF 63V","CP_Elec_8x10",23.600000,0.600000,180.000000,top
"C14","47uF 63V","CP_Elec_8x10",23.600000,-17.050000,180.000000,top
"C15","47uF 63V","CP_Elec_8x10",23.600000,-8.600000,180.000000,top
"C16","10u","C_0805_2012Metric",2.490000,-0.947500,-90.000000,top
"C17","10uF 50V","C_0805_2012Metric",12.370900,-19.730000,0.000000,top
"C18","HIGHCURRENTPAD2","PAD_12GA_WIRE",56.619000,-17.800000,0.000000,top
"C19","100uF 35V","CP_Elec_6.3x7.7",-2.245000,27.980000,0.000000,top
"C20","10u","C_0805_2012Metric",-2.395000,-0.200000,180.000000,top
"C21","100nF 50V","C_0603_1608Metric",16.260000,-6.580900,-90.000000,top
"C22","20p","C_0603_1608Metric",-5.960000,7.175000,90.000000,top
"C23","20p","C_0603_1608Metric",-11.205000,4.350000,180.000000,top
"C24","10uF 50V","C_0805_2012Metric",12.480900,-11.680000,0.000000,top
"C25","100n","C_0603_1608Metric",2.660000,-16.295000,90.000000,top
"C26","100nF 50V","C_0603_1608Metric",16.410000,1.879100,-90.000000,top
"C27","10u","C_0805_2012Metric",0.440000,-0.975000,-90.000000,top
"C28","10uF 50V","C_0805_2012Metric",12.180900,-3.380000,0.000000,top
"C29","100n","C_0603_1608Metric",-8.370000,-12.685000,-90.000000,top
"C30","100n","C_0603_1608Metric",-12.370000,1.935000,90.000000,top
"C31","1u","C_0603_1608Metric",-12.520000,-11.535000,-90.000000,top
"C32","100n","C_0603_1608Metric",-10.070000,-12.685000,-90.000000,top
"C33","1u","C_0603_1608Metric",-15.745000,-11.690000,180.000000,top
"C34","100n","C_0603_1608Metric",-3.235000,-8.900000,0.000000,top
"C35","100n","C_0603_1608Metric",-16.455000,-3.800000,180.000000,top
"C36","100n","C_0603_1608Metric",-2.235000,-3.550000,0.000000,top
"C37","100n","C_0603_1608Metric",-10.751000,1.985000,90.000000,top
"C38","100n","C_0603_1608Metric",-15.805000,-8.450000,180.000000,top
"C39","100n","C_0603_1608Metric",-15.805000,-10.100000,180.000000,top
"CH1","MOSFETSO-8","PowerPAK_SO-8_123",33.850000,10.080000,180.000000,top
"CH2","MOSFETSO-8","PowerPAK_SO-8_123",33.850000,-17.800000,180.000000,top
"CL1","MOSFETSO-8","PowerPAK_SO-8_123",42.450000,10.080000,180.000000,top
"CL2","MOSFETSO-8","PowerPAK_SO-8_123",42.450000,-17.800000,180.000000,top
"D1","FR107","D_SOD-123",16.840000,6.280000,90.000000,top
"D2","1N4148WS","D_SOD-323",4.900000,6.830000,-90.000000,top
"D3","1N4148WS","D_SOD-323",4.900000,11.705000,-90.000000,top
"D4","B5819W SL","D_SOD-123",34.900000,5.745000,0.000000,top
"D5","B5819W SL","D_SOD-123",43.611000,14.395000,0.000000,top
"D6","FR107","D_SOD-123",16.740000,14.530000,90.000000,top
"D7","1N4148WS","D_SOD-323",4.900000,15.630000,-90.000000,top
"D8","1N4148WS","D_SOD-323",4.900000,20.180000,-90.000000,top
"D9","B5819W SL","D_SOD-123",35.321000,14.455000,0.000000,top
"D10","B5819W SL","D_SOD-123",43.911000,22.805000,0.000000,top
"D11","FR107","D_SOD-123",15.390000,23.880000,90.000000,top
"D12","1N4148WS","D_SOD-323",3.700000,25.380000,-90.000000,top
"D13","1N4148WS","D_SOD-323",3.700000,28.730000,-90.000000,top
"D14","B5819W SL","D_SOD-123",35.100000,22.730000,0.000000,top
"D15","B5819W SL","D_SOD-123",48.700000,29.730000,0.000000,top
"D16","FR107","D_SOD-123",16.640000,-19.300000,90.000000,top
"D17","1N4148WS","D_SOD-323",4.700000,-18.200000,-90.000000,top
"D18","1N4148WS","D_SOD-323",4.700000,-13.325000,-90.000000,top
"D19","B5819W SL","D_SOD-123",-1.610000,-20.400000,180.000000,top
"D20","B5819W SL","D_SOD-123",34.971000,-13.635000,0.000000,top
"D21","B5819W SL","D_SOD-123",51.911000,-20.135000,0.000000,top
"D22","SS210","D_SMA",-1.115000,22.500000,0.000000,top
"D23","FR107","D_SOD-123",16.540000,-10.750000,90.000000,top
"D24","1N4148WS","D_SOD-323",4.700000,-9.650000,-90.000000,top
"D25","1N4148WS","D_SOD-323",4.700000,-5.100000,-90.000000,top
"D26","B5819W SL","D_SOD-123",34.971000,-5.075000,0.000000,top
"D27","B5819W SL","D_SOD-123",42.911000,-13.575000,0.000000,top
"D28","FR107","D_SOD-123",16.640000,-2.400000,90.000000,top
"D29","1N4148WS","D_SOD-323",4.700000,-1.500000,-90.000000,top
"D30","1N4148WS","D_SOD-323",4.700000,3.050000,-90.000000,top
"D31","B5819W SL","D_SOD-123",34.900000,3.350000,0.000000,top
"D32","B5819W SL","D_SOD-123",43.700000,-5.150000,0.000000,top
"D33","DNS","D_SOD-523",-8.010000,13.850000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",-9.710000,-19.250000,0.000000,top
"J2","Conn_01x05","Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",-22.250000,-19.650000,90.000000,top
"J3","Conn_01x06","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",-22.250000,-5.700000,90.000000,top
"J4","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",-22.250000,10.700000,90.000000,top
"J5","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",-22.250000,22.050000,90.000000,top
"J6","Conn_01x03","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",-16.610000,13.400000,0.000000,top
"L1","100uH 0.5A","SM5845",-10.405000,28.280000,90.000000,top
"R1","22R","R_0603_1608Metric",6.690000,6.805000,-90.000000,top
"R2","22R","R_0603_1608Metric",6.790000,11.605000,-90.000000,top
"R3","8mΩ","R_2512_6332Metric",50.200000,16.260000,180.000000,top
"R4","8mΩ","R_2512_6332Metric",50.200000,20.360000,180.000000,top
"R5","8mΩ","R_2512_6332Metric",50.200000,26.000000,180.000000,top
"R6","8mΩ","R_2512_6332Metric",50.200000,11.040000,180.000000,top
"R7","22R","R_0603_1608Metric",6.911000,15.550000,-90.000000,top
"R8","22R","R_0603_1608Metric",6.809000,20.060000,-90.000000,top
"R9","1.1k","R_0603_1608Metric",40.721900,5.762000,0.000000,top
"R10","0.1uF","C_0603_1608Metric",45.508400,6.275000,180.000000,top
"R11","6.04k","R_0603_1608Metric",45.535000,4.569100,180.000000,top
"R12","88.7K","R_0603_1608Metric",45.505000,2.831900,180.000000,top
"R13","DNS","R_0603_1608Metric",43.096900,4.665000,-90.000000,top
"R14","22R","R_0603_1608Metric",5.669000,25.365000,-90.000000,top
"R15","22R","R_0603_1608Metric",5.759000,28.765000,-90.000000,top
"R16","5.1k","R_0603_1608Metric",-16.680000,-18.460000,0.000000,top
"R17","5.1k","R_0603_1608Metric",-16.740000,-20.170000,180.000000,top
"R18","22R","R_0603_1608Metric",6.490000,-18.225000,-90.000000,top
"R19","22R","R_0603_1608Metric",6.590000,-13.425000,-90.000000,top
"R20","8mΩ","R_2512_6332Metric",50.200000,-11.620000,180.000000,top
"R21","0.15R","R_1206_3216Metric",-17.030000,28.895000,90.000000,top
"R22","8mΩ","R_2512_6332Metric",50.200000,-7.520000,180.000000,top
"R23","2.7k","R_0603_1608Metric",-13.280000,23.255000,90.000000,top
"R24","8mΩ","R_2512_6332Metric",50.200000,-1.880000,180.000000,top
"R25","23.2k","R_0603_1608Metric",-14.930000,26.015000,90.000000,top
"R26","8mΩ","R_2512_6332Metric",50.200000,-16.840000,180.000000,top
"R27","1.1k","R_0603_1608Metric",1.375000,-8.510000,0.000000,top
"R28","22R","R_0603_1608Metric",6.711000,-9.730000,-90.000000,top
"R29","22R","R_0603_1608Metric",6.609000,-5.220000,-90.000000,top
"R30","1.1k","R_0603_1608Metric",40.621900,3.842000,0.000000,top
"R31","0.1uF","C_0603_1608Metric",56.221600,6.255000,0.000000,top
"R32","DNS","C_0402_1005Metric",0.625000,-7.010000,180.000000,top
"R33","6.04k","R_0603_1608Metric",56.225000,4.530900,0.000000,top
"R34","88.7K","R_0603_1608Metric",56.205000,2.968100,0.000000,top
"R35","1.1k","R_0603_1608Metric",-8.620000,2.265000,90.000000,top
"R36","DNS","R_0603_1608Metric",58.626900,3.765000,-90.000000,top
"R37","0.1uF","C_0603_1608Metric",52.190000,1.000000,0.000000,top
"R38","22R","R_0603_1608Metric",6.669000,-1.515000,-90.000000,top
"R39","22R","R_0603_1608Metric",6.759000,3.085000,-90.000000,top
"R40","23.2k","R_0603_1608Metric",-17.860000,4.900000,-90.000000,top
"R41","23.2k","R_0603_1608Metric",-16.220000,4.890000,-90.000000,top
"R42","23.2k","R_0603_1608Metric",-14.710000,1.100000,-90.000000,top
"R43","23.2k","R_0603_1608Metric",-16.320000,1.100000,-90.000000,top
"R44","23.2k","R_0603_1608Metric",-14.510000,4.880000,-90.000000,top
"R45","23.2k","R_0603_1608Metric",-18.010000,1.090000,-90.000000,top
"R46","27","R_0603_1608Metric",-15.920000,-15.335000,90.000000,top
"R47","27","R_0603_1608Metric",-17.720000,-15.335000,90.000000,top
"R48","100k","R_0603_1608Metric",-7.901100,15.490000,0.000000,top
"R49","5.1k","R_0603_1608Metric",-16.190000,8.200000,90.000000,top
"R50","5.1k","R_0603_1608Metric",-17.820000,8.200000,-90.000000,top
"R51","5.1k","R_0603_1608Metric",-7.972000,12.174900,180.000000,top
"SW1","SW_MEC_5G","SW_PUSH_6mm_H4.3mm",-4.610000,16.000000,0.000000,top
"U$1","33Nf","C_0603_1608Metric",-15.810000,22.800000,90.000000,top
"U1","EG2131","SOIC-8_3.9x4.9mm_P1.27mm",11.559100,9.410000,180.000000,top
"U2","EG2131","SOIC-8_3.9x4.9mm_P1.27mm",11.549100,17.430000,180.000000,top
"U3","LM358","SOIC-8_3.9x4.9mm_P1.27mm",50.840000,4.600000,180.000000,top
"U4","EG2131","SOIC-8_3.9x4.9mm_P1.27mm",10.399100,26.880000,180.000000,top
"U5","EG2131","SOIC-8_3.9x4.9mm_P1.27mm",11.359100,-15.620000,180.000000,top
"U6","XL7045","SOIC-8_3.9x4.9mm_P1.27mm_POWERPAD",-9.760000,21.100000,-90.000000,top
"U7","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",-0.320000,5.400000,90.000000,top
"U8","EG2131","SOIC-8_3.9x4.9mm_P1.27mm",11.349100,-7.850000,180.000000,top
