Designator,Val,Package,Mid x,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",104.595000,-87.930000,180.000000,top
"C2","10u","C_0805_2012Metric",93.851000,-97.746000,90.000000,top
"C3","10u","C_0805_2012Metric",92.800000,-90.986000,180.000000,top
"C4","10u","C_0805_2012Metric",92.800000,-93.000000,180.000000,top
"C5","20p","C_0603_1608Metric",94.550000,-63.725000,90.000000,top
"C6","20p","C_0603_1608Metric",89.305000,-66.550000,180.000000,top
"C7","10u","C_0805_2012Metric",104.472000,-90.231000,180.000000,top
"C8","100n","C_0603_1608Metric",92.140000,-83.885000,-90.000000,top
"C9","100n","C_0603_1608Metric",87.840000,-68.865000,90.000000,top
"C10","1u","C_0603_1608Metric",87.690000,-82.435000,-90.000000,top
"C11","100n","C_0603_1608Metric",90.540000,-83.785000,-90.000000,top
"C12","1u","C_0603_1608Metric",84.765000,-82.790000,180.000000,top
"C13","100n","C_0603_1608Metric",96.875000,-80.300000,0.000000,top
"C14","100n","C_0603_1608Metric",83.355000,-74.700000,180.000000,top
"C15","100n","C_0603_1608Metric",98.275000,-74.450000,0.000000,top
"C16","100n","C_0603_1608Metric",89.759000,-68.865000,90.000000,top
"C17","100n","C_0603_1608Metric",84.705000,-79.550000,180.000000,top
"C18","100n","C_0603_1608Metric",84.705000,-81.200000,180.000000,top
"D1","WS2812B","LED_WS2812_3528_3.5x2.8mm_P1.5mm",98.250000,-67.450000,90.000000,top
"D2","WS2812B","LED_WS2812_3528_3.5x2.8mm_P1.5mm",101.650000,-67.450000,90.000000,top
"D3","WS2812B","LED_WS2812_3528_3.5x2.8mm_P1.5mm",105.050000,-67.450000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",86.650000,-99.400000,0.000000,top
"J2","Conn_01x06","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",106.832000,-84.636000,90.000000,top
"J3","Conn_01x06","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",80.000000,-70.750000,90.000000,top
"J4","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",78.500000,-74.500000,0.000000,top
"R1","1.1k","R_0603_1608Metric",100.735000,-90.160000,0.000000,top
"R2","DNS","R_0402_1005Metric",97.965000,-90.190000,0.000000,top
"R3","5.1k","R_0603_1608Metric",84.306000,-91.774000,-90.000000,top
"R4","5.1k","R_0603_1608Metric",89.596000,-91.214000,90.000000,top
"R5","1.1k","R_0603_1608Metric",91.740000,-68.535000,90.000000,top
"R6","27","R_0603_1608Metric",87.762000,-91.697000,90.000000,top
"R7","27","R_0603_1608Metric",86.162000,-91.697000,90.000000,top
"SW1","SW_MEC_5G","SW_TS_1101_C_W",108.550000,-93.250000,90.000000,top
"TP1","TestPoint","TestPoint_Keystone_5019_Minature",100.600000,-62.950000,0.000000,top
"U1","W25Q16JVSSIQ","SOIC-8_5.23x5.23mm_P1.27mm",98.225000,-86.260000,180.000000,top
"U2","LD1086DT33TR","TO-252-2",100.592000,-98.195000,0.000000,top
"U3","RP2040","RP2040-QFN-56",90.790000,-76.150000,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",91.350000,-63.800000,0.000000,top
