Designator,Footprint,Quantity,Value,LCSC Part #
"AH1, AH2, AL1, AL2, BH1, BH2, BL1, BL2, CH1, CH2, CL1, CL2",PowerPAK_SO-8_123,12,MOSFETSO-8,C454269
"C1, C10, C11, C14, C15, C2, C8, C81",0603,8,4.7uF 35V,C162274
"C110, C24, C29, C86",0805,4,10u,C15850
C111,1210,1,4.7uF 100V,C342614
C112,0805,1,100nF 100V,C28233
C113,0603,1,47pf,C1671
"C114, C21, C22, C30, C31, C33, C36, C37, C38, C39, C40, C41, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C55, C56, C59, C66, C72, C74",0603,28,100n,C14663
C115,CP_Elec_6.3x7.7,1,220uF 25V,C340768
C119,0603,1,0.1uF,C14663
C120,CP_Radial_D8.0mm_P3.50mm,1,47uF 63V solid,C2887234
"C121, C122, C123, C124, C18, C20, C32, C34, C35, C53, C54",0603,11,1u,C15849
"C13, C65, C70, C71, C84, C85",0603,6,10uF 35v,C194427
"C19, C27, C28, C42",0603,4,20p,C1648
"C23, C60, C61, C62, C63, C64",0603,6,47p,C1671
"C26, C3, C4, C5, C6, C7",CP_Radial_D8.0mm_P3.50mm,6,100uF 63V solid,C2898915
"C57, C58",0603,2,18p,C1647
"C68, C76, C77, C78, C79, C80",1206,6,2.2uF 100V,C650969
"C94, C96",0805,2,22uF 25V,C602037
C95,0805,1,47uF 10v,C59461
C97,0603,1,22pF,C1653
C98,0603,1,22nF,C106217
"D1, D40",SOT-23,2,ESDCAN24-2BLY,C5158050
"D10, D11, D19, D2, D21, D7",D_SOD-123,6,FR107,C511885
"D12, D13, D14, D15, D16, D17, D20, D22, D23, D24, D5, D6",D_SOD-523,12,CDBU0130R-HF,C3012732
"D18, D25, D26, D4, D42, D8, D9",D_SMA,7,SMAJ51A,C726760
D27,D_SMA,1,SS310,C15874
"D28, D29, D30, D32",D_SOD-523,4,TVS 3.3V,C129213
D3,D_SMA,1,TVS 5V,C78401
D31,D_SOD-323,1,1N4148WS,C2128
