Designator,Mid X,Mid Y,Rotation,Layer
AH1,148.55,-66.7,180.0,top
AH2,148.55,-36.62,180.0,top
AL1,155.05,-67.5405,90.0,top
AL2,154.95,-37.3295,90.0,top
BH1,148.4,-76.75,180.0,top
BH2,148.35,-46.62,180.0,top
BL1,154.85,-77.55,90.0,top
BL2,154.75,-47.42,90.0,top
C1,149.945,-95.665,90.0,top
C10,114.37,-83.33,270.0,top
C100,152.605,-83.3,0.0,top
C101,150.105,-32.835,0.0,top
C102,156.255,-32.77,0.0,top
C103,152.855,-52.955,0.0,top
C104,162.465,-60.855,0.0,top
C105,158.765,-43.04,0.0,top
C106,152.615,-42.975,0.0,top
C107,160.865,-62.46,0.0,top
C108,159.165,-73.095,0.0,top
C109,158.59,-83.305,0.0,top
C11,114.1859,-46.235,270.0,top
C110,103.405,-33.825,90.0,top
C111,85.8,-33.74,180.0,top
C112,85.235,-37.005,180.0,top
C113,84.62,-48.37,180.0,top
C114,90.12,-48.21,180.0,top
C115,96.965,-36.61,180.0,top
C119,99.41,-50.27,180.0,top
C12,126.315,-88.82,90.0,top
C120,79.130302,-38.025,90.0,top
C121,103.595,-44.655,270.0,top
C122,103.535,-37.305,270.0,top
C123,150.195,-104.445,0.0,top
C124,144.155,-104.465,180.0,top
C13,118.1459,-47.01,0.0,top
C14,114.32,-74.08,270.0,top
C15,114.17,-36.98,270.0,top
C16,126.44,-79.445,90.0,top
C17,126.065,-42.32,90.0,top
C18,170.7,-60.55,0.0,top
C19,71.906,-91.834,0.0,top
C2,114.22,-55.48,270.0,top
C20,174.205,-64.73,180.0,top
C21,91.03,-86.73,90.0,top
C22,103.57,-87.3,270.0,top
C23,78.25,-50.137,180.0,top
C24,103.38,-41.4,90.0,top
C25,126.2,-51.345,90.0,top
C26,133.5,-89.275,180.0,top
C27,94.15,-61.575,90.0,top
C28,89.505,-64.3,180.0,top
C29,77.922,-102.081,180.0,top
C3,133.5,-44.82,180.0,top
C30,92.54,-81.335,270.0,top
C31,88.64,-66.615,90.0,top
C32,88.49,-80.185,270.0,top
C33,90.84,-81.335,270.0,top
C34,85.215,-78.89,180.0,top
C35,103.56,-84.2,270.0,top
C36,96.75,-77.85,270.0,top
C37,84.605,-71.2,90.0,top
C38,100.375,-71.125,0.0,top
C39,90.259,-66.615,90.0,top
C4,133.5,-36.12,180.0,top
C40,85.205,-77.4,180.0,top
C41,85.205,-80.4,180.0,top
C42,74.766,-97.334,270.0,top
C43,95.038,-96.496,270.0,top
C44,91.726,-98.824,0.0,top
C45,77.016,-98.024,180.0,top
C46,92.626,-97.254,0.0,top
C47,80.644,-102.25,270.0,top
C48,82.176,-102.25,270.0,top
C49,88.296,-89.172,0.0,top
C5,133.5,-53.6,180.0,top
C50,77.026,-96.524,180.0,top
C51,87.876,-101.524,270.0,top
C52,90.886,-101.674,270.0,top
C53,92.616,-95.764,0.0,top
C54,89.386,-101.614,270.0,top
C55,151.51,-95.665,90.0,top
C56,134.22,-95.23,0.0,top
C57,104.577,-107.388,0.0,top
C58,104.542,-113.297,180.0,top
C59,108.745,-71.995,180.0,top
C6,133.5,-80.45,180.0,top
C60,78.25,-63.433,180.0,top
C61,78.25,-66.598,180.0,top
C62,78.25,-69.808,180.0,top
C63,78.25,-53.413,180.0,top
C64,78.25,-56.648,180.0,top
C65,118.23,-56.245,0.0,top
C66,107.545,-47.185,180.0,top
C68,148.635,-91.145,0.0,top
C7,133.5,-71.7,180.0,top
C70,118.155,-37.725,0.0,top
C71,118.305,-74.85,0.0,top
C72,108.845,-79.125,180.0,top
C74,107.695,-54.345,180.0,top
C76,149.15,-70.75,0.0,top
C77,149.2,-40.65,0.0,top
C78,149.05,-60.85,0.0,top
C79,148.9,-50.6,0.0,top
C8,154.635,-97.915,0.0,top
C80,149.0,-80.8,0.0,top
C81,114.245,-64.78,270.0,top
C82,126.19,-70.22,90.0,top
C84,118.23,-65.55,0.0,top
C85,118.33,-84.125,0.0,top
C86,158.2,-101.05,0.0,top
C87,82.125,-67.795,180.0,top
C88,82.075,-65.285,0.0,top
C89,82.125,-62.575,0.0,top
C9,126.14,-60.92,90.0,top
C90,81.875,-55.535,180.0,top
C91,81.875,-53.305,180.0,top
C92,81.875,-51.095,180.0,top
C93,152.78,-63.155,0.0,top
C94,95.75,-51.85,270.0,top
C95,91.735,-55.265,180.0,top
C96,91.735,-57.28,180.0,top
C97,96.49,-54.88,180.0,top
C98,90.415,-52.015,90.0,top
C99,152.53,-73.115,0.0,top
CH1,148.45,-86.85,180.0,top
CH2,148.5,-56.75,180.0,top
CL1,155.1,-87.65,90.0,top
CL2,154.9,-57.55,90.0,top
D1,151.145,-98.925,0.0,top
D10,117.355,-54.325,180.0,top
D11,117.48,-82.2,180.0,top
D12,123.955,-89.575,0.0,top
D13,124.18,-81.675,0.0,top
D14,123.98,-43.025,0.0,top
D15,123.975,-44.475,0.0,top
D16,124.05,-52.385,0.0,top
D17,123.93,-35.125,0.0,top
D18,167.225,-35.205,90.0,top
D19,117.37,-63.625,180.0,top
D2,117.28,-45.1,180.0,top
D20,123.855,-70.925,0.0,top
D21,117.445,-72.95,180.0,top
D22,123.855,-80.225,0.0,top
D23,124.105,-72.375,0.0,top
D24,124.005,-63.1,0.0,top
D25,160.075,-78.92,270.0,top
D26,167.275,-89.52,270.0,top
D27,90.365,-36.62,90.0,top
D28,116.88,-94.565,0.0,top
D29,101.16,-104.365,0.0,top
D3,126.875,-110.13,90.0,top
D30,70.125,-75.58,90.0,top
D31,106.27,-93.72,0.0,top
D32,124.345,-100.11,90.0,top
D33,100.0,-47.95,0.0,top
D34,100.0,-44.9,0.0,top
D35,100.0,-41.86,0.0,top
D36,66.195,-92.8,180.0,top
D37,67.18,-104.636,0.0,top
D38,130.755,-98.41,180.0,top
D39,130.76,-94.93,180.0,top
D4,139.63,-33.375,180.0,top
D40,127.145,-104.875,0.0,top
D41,67.44,-106.67,180.0,top
D42,167.325,-65.48,90.0,top
D43,70.825,-102.97,270.0,top
D44,77.105,-82.8,180.0,top
D5,123.875,-61.65,0.0,top
D6,124.05,-53.825,0.0,top
D7,117.305,-35.8,180.0,top
D8,159.375,-48.07,270.0,top
D9,167.275,-56.67,270.0,top
FB2,153.79,-94.82,0.0,top
J1,75.55,-111.9,0.0,top
J10,65.95,-80.1,90.0,top
J11,121.525,-112.747,90.0,top
J12,113.327,-98.352,180.0,top
J13,66.05,-89.14,90.0,top
J14,99.05,-112.05,90.0,top
J15,66.0,-70.55,90.0,top
J16,73.575,-80.175,180.0,bottom
J17,156.8,-116.7,0.0,top
J19,171.145,-45.545,180.0,top
J2,137.9,-116.725,0.0,top
J20,171.795,-79.82,180.0,top
J21,131.84,-62.66,0.0,top
J3,73.15,-70.85,90.0,top
J4,73.2,-54.4,90.0,top
J5,66.0,-53.086,90.0,top
J6,88.25,-111.9,0.0,top
J8,164.205,-96.655,180.0,top
J9,66.1,-101.65,90.0,top
L2,86.825,-53.05,270.0,top
L3,93.115,-43.855,0.0,top
Q1,123.53,-48.425,180.0,top
Q2,123.47,-57.725,180.0,top
Q3,123.37,-39.1,180.0,top
Q4,123.695,-67.0,180.0,top
Q5,123.72,-76.3,180.0,top
Q6,123.695,-85.625,180.0,top
Q7,121.475,-100.065,180.0,top
R1,120.495,-55.505,270.0,top
R10,168.15,-108.325,180.0,top
R101,161.695,-65.205,0.0,top
R105,161.59,-35.08,0.0,top
R109,161.625,-54.105,0.0,top
R11,165.2,-101.6,270.0,top
R113,161.595,-39.045,0.0,top
R114,161.645,-58.035,0.0,top
R115,161.695,-89.925,0.0,top
R116,161.695,-69.115,0.0,top
R12,163.6,-101.6,270.0,top
R13,162.0,-101.6,270.0,top
R14,149.525,-83.3,0.0,top
R15,96.5,-56.57,0.0,top
R16,94.23,-55.77,270.0,top
R17,156.545,-95.105,90.0,top
R18,121.625,-51.665,270.0,top
R19,120.59,-83.38,270.0,top
R2,119.895,-91.095,180.0,top
R20,121.82,-88.82,270.0,top
R21,163.17,-72.685,0.0,top
R22,121.915,-45.365,90.0,top
R23,126.23,-48.34,270.0,top
R24,124.17,-45.956,0.0,top
