Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0603_1608Metric",146.500000,-104.610000,90.000000,top
"C2","0.1uF","C_0603_1608Metric",159.200000,-105.300000,-142.000000,top
"C3","0.1uF","C_0603_1608Metric",156.925000,-97.725000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",158.600000,-92.750000,45.000000,top
"C5","1u","C_0603_1608Metric",143.250000,-99.250000,90.000000,top
"C6","0.1uF","C_0603_1608Metric",145.250000,-99.250000,-90.000000,top
"D1","6v","D_SOD-123F",133.400000,-95.150000,-50.000000,top
"D2","SK6805","LED_SK6812_EC15_1.5x1.5mm",156.000000,-94.000000,90.000000,top
"D3","SK6805","LED_SK6812_EC15_1.5x1.5mm",156.000000,-106.000000,90.000000,top
"D4","SK6805","LED_SK6812_EC15_1.5x1.5mm",144.000000,-106.000000,0.000000,top
"D5","SK6805","LED_SK6812_EC15_1.5x1.5mm",144.000000,-94.000000,0.000000,top
"J1","Conn_01x05","Molex_KK-254_1x05_P2.54mm_Horizontal",144.080000,-87.000000,-142.000000,top
"Logo1","love","love_small",149.446259,-95.721600,0.000000,top
"R1","10k","R_0603_1608Metric",148.000000,-86.310000,180.000000,top
"R2","10k","R_0603_1608Metric",155.400000,-100.850000,180.000000,top
"R3","10k","R_0603_1608Metric",155.390000,-99.250000,180.000000,top
"U1","SN74LVC1G07QDCKTQ1","SOT-353_SC-70-5",142.770000,-102.520000,-90.000000,top
"U2","SN74LVC1G07QDCKTQ1","SOT-353_SC-70-5",157.900000,-103.100000,-52.000000,top
"U3","SN74LVC1G79DBVR","SOT-353_SC-70-5",155.150000,-91.400000,0.000000,top
"U4","SN74LVC1G07QDCKTQ1","SOT-353_SC-70-5",160.420000,-94.830000,-130.000000,top
"U5","MT6701","SO-8_3.9x4.9mm_P1.27mm",150.000000,-100.000000,0.000000,top
